"Mineral Name","Mineral Name (plain)","Year First Published"
"Abellaite","Abellaite","2014"
"Abelsonite","Abelsonite","1975"
"Abenakiite-(Ce)","Abenakiite-(Ce)","1991"
"Abernathyite","Abernathyite","1956"
"Abhurite","Abhurite","1983"
"Abramovite","Abramovite","2006"
"Abswurmbachite","Abswurmbachite","1990"
"Abuite","Abuite","2014"
"Acanthite","Acanthite","1855"
"Acetamide","Acetamide","1974"
"Achalaite","Achalaite","2013"
"Achávalite","Achavalite","1939"
"Achyrophanite","Achyrophanite","2018"
"Acmonidesite","Acmonidesite","2013"
"Actinolite","Actinolite","1794"
"Acuminite","Acuminite","1986"
"Adachiite","Adachiite","2012"
"Adamite","Adamite","1866"
"Adamsite-(Y)","Adamsite-(Y)","1999"
"Adanite","Adanite","2019"
"Addibischoffite","Addibischoffite","2015"
"Adelite","Adelite","1891"
"Admontite","Admontite","1978"
"Adolfpateraite","Adolfpateraite","2011"
"Adranosite","Adranosite","2008"
"Adranosite-(Fe)","Adranosite-(Fe)","2011"
"Adrianite","Adrianite","2014"
"Aegirine","Aegirine","1835"
"Aegirine-augite","Aegirine-augite","1892"
"Aenigmatite","Aenigmatite","1865"
"Aerinite","Aerinite","1876"
"Aerugite","Aerugite","1858"
"Aeschynite-(Ce)","Aeschynite-(Ce)","1830"
"Aeschynite-(Nd)","Aeschynite-(Nd)","1982"
"Aeschynite-(Y)","Aeschynite-(Y)","1906"
"Afghanite","Afghanite","1967"
"Afmite","Afmite","2005"
"Afwillite","Afwillite","1925"
"Agaite","Agaite","2011"
"Agakhanovite-(Y)","Agakhanovite-(Y)","2013"
"Agardite-(Ce)","Agardite-(Ce)","2003"
"Agardite-(La)","Agardite-(La)","1980"
"Agardite-(Nd)","Agardite-(Nd)","2010"
"Agardite-(Y)","Agardite-(Y)","1968"
"Agmantinite","Agmantinite","2014"
"Agrellite","Agrellite","1973"
"Agricolaite","Agricolaite","2009"
"Agrinierite","Agrinierite","1971"
"Aguilarite","Aguilarite","1891"
"Aheylite","Aheylite","1984"
"Ahlfeldite","Ahlfeldite","1935"
"Ahrensite","Ahrensite","2013"
"Aikinite","Aikinite","1843"
"Aiolosite","Aiolosite","2008"
"Airdite","Airdite","2020"
"Ajoite","Ajoite","1958"
"Akaganeite","Akaganeite","1962"
"Akaogiite","Akaogiite","2007"
"Akatoreite","Akatoreite","1969"
"Akdalaite","Akdalaite","1969"
"Åkermanite","Akermanite","1884"
"Akhtenskite","Akhtenskite","1982"
"Akimotoite","Akimotoite","1997"
"Aklimaite","Aklimaite","2011"
"Akopovaite","Akopovaite","2018"
"Akrochordite","Akrochordite","1922"
"Aksaite","Aksaite","1962"
"Aktashite","Aktashite","1968"
"Alabandite","Alabandite","1822"
"Alacránite","Alacranite","1985"
"Alamosite","Alamosite","1909"
"Alarsite","Alarsite","1993"
"Albertiniite","Albertiniite","2015"
"Albite","Albite","1815"
"Albrechtschraufite","Albrechtschraufite","1983"
"Alburnite","Alburnite","2012"
"Alcantarillaite","Alcantarillaite","2019"
"Alcaparrosaite","Alcaparrosaite","2011"
"Aldermanite","Aldermanite","1980"
"Aldridgeite","Aldridgeite","2010"
"Aleksandrovite","Aleksandrovite","2009"
"Aleksite","Aleksite","1977"
"Aleutite","Aleutite","2018"
"Alexkhomyakovite","Alexkhomyakovite","2015"
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","2020"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","2019"
"Alflarsenite","Alflarsenite","2008"
"Alforsite","Alforsite","1980"
"Alfredopetrovite","Alfredopetrovite","2015"
"Alfredstelznerite","Alfredstelznerite","2007"
"Algodonite","Algodonite","1857"
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","2020"
"Aliettite","Aliettite","1968"
"Allabogdanite","Allabogdanite","2000"
"Allactite","Allactite","1884"
"Allanite-(Ce)","Allanite-(Ce)","1812"
"Allanite-(La)","Allanite-(La)","2003"
"Allanite-(Nd)","Allanite-(Nd)","2010"
"Allanite-(Y)","Allanite-(Y)","1949"
"Allanpringite","Allanpringite","2004"
"Allantoin","Allantoin","2020"
"Allargentum","Allargentum","1949"
"Alleghanyite","Alleghanyite","1932"
"Allendeite","Allendeite","2007"
"Allochalcoselite","Allochalcoselite","2004"
"Alloclasite","Alloclasite","1866"
"Allophane","Allophane","1816"
"Alloriite","Alloriite","2006"
"Alluaivite","Alluaivite","1988"
"Alluaudite","Alluaudite","1848"
"Almandine","Almandine","0"
"Almarudite","Almarudite","2002"
"Almeidaite","Almeidaite","2013"
"Alnaperbøeite-(Ce)","Alnaperboeite-(Ce)","2012"
"Alpeite","Alpeite","2016"
"Alpersite","Alpersite","2003"
"Alsakharovite-Zn","Alsakharovite-Zn","2002"
"Alstonite","Alstonite","1841"
"Altaite","Altaite","1845"
"Alterite","Alterite","2018"
"Althausite","Althausite","1974"
"Althupite","Althupite","1986"
"Altisite","Altisite","1993"
"Aluminite","Aluminite","1805"
"Aluminium","Aluminium","1978"
"Aluminoceladonite","Aluminoceladonite","1883"
"Aluminocerite-(Ce)","Aluminocerite-(Ce)","2007"
"Aluminocopiapite","Aluminocopiapite","1947"
"Aluminocoquimbite","Aluminocoquimbite","2009"
"Aluminomagnesiohulsite","Aluminomagnesiohulsite","2002"
"Alumino-oxy-rossmanite","Alumino-oxy-rossmanite","2020"
"Aluminopyracmonite","Aluminopyracmonite","2012"
"Aluminosugilite","Aluminosugilite","2019"
"Alum-(K)","Alum-(K)","1951"
"Alum-(Na)","Alum-(Na)","1951"
"Alumoåkermanite","Alumoakermanite","2008"
"Alumoedtollite","Alumoedtollite","2017"
"Alumohydrocalcite","Alumohydrocalcite","1926"
"Alumoklyuchevskite","Alumoklyuchevskite","1993"
"Alumotantite","Alumotantite","1980"
"Alumovesuvianite","Alumovesuvianite","2016"
"Alunite","Alunite","1565"
"Alunogen","Alunogen","1832"
"Alvanite","Alvanite","1959"
"Alwilkinsite-(Y)","Alwilkinsite-(Y)","2015"
"Amakinite","Amakinite","1962"
"Amamoorite","Amamoorite","2018"
"Amarantite","Amarantite","1888"
"Amarillite","Amarillite","1933"
"Amblygonite","Amblygonite","1818"
