"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","type_desc","shortcode_ima","loccount"
"47008","Abellaite","1","2015","","2014",\N,"2017","5","B","E","X","1","Ibáñez-Insa J., Elvira J.J., Llovet X., Pérez-Cano J., Oriols N., Busquets-Masó M., Hernández S. (2017): Abellaite, NaPb2(CO3)2(OH), a new supergene mineral from the Eureka mine, Lleida province, Catalonia, Spain. European Journal of Mineralogy: 29: 915-922","Abe","3"
"1","Abelsonite","1","1975","1975","1975","1978","1978","10","C","A","20","1","Milton, C., Dwornik, E. J., Estep-Barnes, P. A., Finkelman, R. B., Pabst, A., & Palmer, S. (1978). Abelsonite, nickel porphyrin, a new mineral from the Green River Formation, Utah. American Mineralogist, 63(9-10), 930-937.","Abl","10"
"2","Abenakiite-(Ce)","1","1991","","1991","1994","1994","9","C","K","10","1","McDonald, A. M., Chao, G. Y., & Grice, J. D. (1994). Abenakiite-(Ce), a new silicophosphate carbonate mineral from Mont Saint-Hilaire, Quebec; description and structure determination. The Canadian Mineralogist, 32(4), 843-854.","Abk-Ce","2"
"3","Abernathyite","6","1956","1956","1956","1955","1956","8","E","B","15","9","Thompson M E, Ingram B, Gross E B (1956) Abernathyite, a new uranium mineral of the metatorbernite group. American Mineralogist 41, 82-90","Abn","20"
"4","Abhurite","1","1983","1983","1983","1718","1985","3","D","A","30","1","Matzko J J, Evans H T, Mrose M E, Aruscavage P (1985) Abhurite, a new tin hydroxychloride mineral, and a comparative study with a synthetic basic tin chloride. The Canadian Mineralogist 23, 233-240","Abh","7"
"29261","Abramovite","1","2006","","2006",\N,"2007","2","H","F","25a","1","Yudovskaya, M.A., Trybkin, N.V., Koporulina, E.V., Belakovsky, D.I., Mokhov, A.V., Kuznetsova, M.V., Golovanova, T.I., (2007) Abramovite, Pb2SnInBiS7 - the new mineral from fumaroles of Kudryavy Volcano (Kurily Islands). Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva: 136: 45-51.","Abm","1"
"9","Abswurmbachite","1","1990","1990","1990","1991","1991","9","A","G","05","1","Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu2+Mn3+6[O8/SiO4], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure. Neues Jahrbuch für Mineralogie, Abhandlungen 163, 117-143","Abs","4"
"46490","Abuite","1","2015","","2014","1998","2017","8","B","0","","1","Enju, S., Uehara, S. (2017) Abuite, CaAl2(PO4)2F2, a new mineral from the Hinomaru–Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences: 112: 109–115.","Abu","1"
"10","Acanthite","6","0","1855","1855","1855",\N,"2","B","A","35","9","","Aca","3284"
"13","Acetamide","1","1974","1974","1974","1971","1975","10","A","A","20","1","Srebrodol’skii B I (1975) Acetamide CH3CONH2 - a new mineral. Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 104, issue 3, 326-328","Ace","3"
