"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","shortcode_ima","loccount"
"47008","Abellaite","1","2015",,"2014","\N","2017","5","B","E","X","1","Abe","3"
"1","Abelsonite","1","1975","1975","1975","1978","1978","10","C","A","20","1","Abl","10"
"2","Abenakiite-(Ce)","1","1991",,"1991","1994","1994","9","C","K","10","1","Abk-Ce","2"
"3","Abernathyite","6","1956","1956","1956","1955","1956","8","E","B","15","9","Abn","20"
"4","Abhurite","1","1983","1983","1983","1718","1985","3","D","A","30","1","Abh","7"
"29261","Abramovite","1","2006",,"2006","\N","2007","2","H","F","25a","1","Abm","1"
"9","Abswurmbachite","1","1990","1990","1990","1991","1991","9","A","G","05","1","Abs","4"
"46490","Abuite","1","2015",,"2014","1998","2017","8","B","0",,"1","Abu","1"
"10","Acanthite","6","0","1855","1855","1855","\N","2","B","A","35","9","Aca","3284"
"13","Acetamide","1","1974","1974","1974","1971","1975","10","A","A","20","1","Ace","3"
"46039","Achalaite","1","2013",,"2013","\N","2016","4","D","0",,"1","Ahl","1"
"14","Achávalite","6","0","1939","1939","1938","\N","2","C","C","05","9","Ahv","3"
"52919","Achyrophanite","0","\N",,"2018","\N","\N","8","B","F","30","5","Aph","1"
"45955","Acmonidesite","1","2013",,"2013","\N","2019","7","A","C",,"1","Acm","1"
"18","Actinolite","6","0",,"1794","1794","\N","9","D","E","10","9","Act","3857"
"19","Acuminite","1","1986",,"1986","1987","1987","3","C","C","10","1","Acu","1"
"43780","Adachiite","1","2013",,"2012","\N","\N","9","C","K",,"1","Adc","1"
"21","Adamite","6","1866","1866","1866","1866","\N","8","B","B","30","9","Ad","317"
"7088","Adamsite-(Y)","1","1999","1992","1999","\N","\N","5","C","C","30","1","Ads-Y","3"
"54113","Adanite","0","\N",,"2019","\N","2020","0","0","0",,"1","Adn","2"
"46547","Addibischoffite","1","2015",,"2015","\N","2017","4","B","C",,"1","Add","1"
"23","Adelite","6","1891","1887","1891","1884","1891","8","B","H","35","9","Ade","17"
"27","Admontite","1","1978","1978","1978","1976","\N","6","F","A","15","1","Amt","1"
"42458","Adolfpateraite","1","2011",,"2011","\N","\N","7","E","C",,"1","Adp","2"
"39324","Adranosite","1","2008",,"2008","\N","\N","7","B","C",,"1","Arn","4"
"38898","Adranosite-(Fe)","1","2011",,"2011","\N","2013","7","B","C",,"1","Arn-Fe","7"
"46164","Adrianite","1","2014","2014","2014","\N","2018","9","A","D",,"1","Adt","1"
"31","Aegirine","1","0","1821","1835","1821","1821","9","D","A","25","9","Aeg","1658"
"32","Aegirine-augite","11","1988","1892","1892","1892","\N","9","D","A","20","1","Aeg-Aug","757"
"33","Aenigmatite","1","0","1865","1865","1865","1865","9","D","H","40","9","Aen","330"
"34","Aerinite","1","0","1876","1876","1876","1876","9","D","B","45","9","Aer","29"
"36","Aerugite","1","0","1858","1858","1858","1858","8","B","C","15","9","Aru","4"
"37","Aeschynite-(Ce)","1","0",,"1830","1830","\N","4","D","F","05","9","Aes-Ce","54"
"38","Aeschynite-(Nd)","1","0",,"1982","1982","\N","4","D","F","05","1","Aes-Nd","10"
"39","Aeschynite-(Y)","1","0",,"1906","1879","1906","4","D","F","05","9","Aes-Y","171"
"41","Afghanite","1","1967","1964","1967","1968","\N","9","F","B","05","1","Afg","28"
"40242","Afmite","1","2010",,"2005","\N","\N","8","D","D","15","1","Afm","4"
"42","Afwillite","6","0","1925","1925","1925","1925","9","A","G","75","9","Afw","47"
"42745","Agaite","1","0",,"2011","\N","\N","7","B","C",,"1","Aga","2"
"45953","Agakhanovite-(Y)","1","2013",,"2013","\N","\N","9","C","M",,"1","Agk-Y","3"
"48","Agardite-(Ce)","1","2003",,"2003","1984","\N","8","D","L","15","1","Agr-Ce","50"
"50","Agardite-(La)","1","1980","1980","1980","1983","\N","8","D","L","15","1","Agr-La","43"
"43","Agardite-(Nd)","1","2010",,"2010","\N","\N","8","D","L","15","1","Agr-Nd","21"
"44","Agardite-(Y)","1","1968","1968","1968","1969","\N","8","D","L","15","1","Agr-Y","104"
"46534","Agmantinite","1","2014",,"2014","\N","2019","2","C","B",,"1","Agm","1"
"57","Agrellite","1","1973",,"1973","1976","1976","9","D","H","75","1","Are","10"
"39868","Agricolaite","1","2010",,"2009","1905","\N","5","E","D","50","1","Agc","4"
"58","Agrinierite","1","1971",,"1971","1972","\N","4","G","B","05","1","Agn","1"
"59","Aguilarite","6","0","1891","1891","1891","\N","2","B","A","55","9","Agu","107"
"60","Aheylite","1","1984","1984","1984","1998","\N","8","D","D","15","1","Ahe","6"
"61","Ahlfeldite","6","0","1935","1935","1935","\N","4","J","H","10","9","Afe","2"
"43891","Ahrensite","1","0",,"2013","\N","2016","9","A","C",,"1","Ahr","5"
"63","Aikinite","6","0","1843","1843","1804","\N","2","H","B","05a","9","Aik","379"
"38693","Aiolosite","1","2008","2008","2008","\N","2010","7","B","D","20","1","Aio","1"
"55106","Airdite","1","2013",,"2020","\N","\N","8","C","J",,"5","Air","1"
"66","Ajoite","6","0","1958","1958","1958","1958","9","E","A","70","9","Aj","17"
"67","Akaganeite","1","1962",,"1962","1960","1962","4","D","K","05","1","Akg","73"
"35912","Akaogiite","1","2008",,"2007","\N","2010","4","D","0",,"1","Aka","4"
"68","Akatoreite","1","1969","1969","1969","1971","\N","9","B","H","15","1","Akt","5"
"69","Akdalaite","1","1969",,"1969","1964","\N","4","F","L","70","1","Akd","6"
"70","Åkermanite","6","0",,"1884","1884","\N","9","B","B","10","9","Åk","58"
"71","Akhtenskite","1","1982",,"1982","1987","\N","4","D","B","15b","1","Akh","8"
"6794","Akimotoite","1","1997",,"1997","1999","1999","4","C","B","05","1","Aki","13"
