0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pr	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
Ag	0	0	54	13	0	0	0	36	3	0	0	2	0	9	0	0	0	64	0	0	1	18	0	0	3	5	0	25	5	3	0	2	0	0	0	0	7	0	0	0	0	0	1	9	0	0	70	9	0	0	0	0	0	0	0	155	68	0	17	0	0	8	0	0	26	0	0	16	0	1	0	0	0	10	0
Al	0	0	62	0	88	60	33	1	0	60	445	1	31	61	1	11	8	60	0	0	150	300	1	0	4	900	0	1	0	0	0	205	22	51	0	292	115	4	23	323	9	7	13	1141	0	191	35	0	0	0	6	4	0	0	0	166	9	5	2	630	1	11	44	6	3	6	46	1	20	39	5	17	1	46	10
As	54	62	0	0	8	11	4	25	2	4	141	6	12	45	32	3	3	176	0	0	20	146	1	0	1	389	0	20	1	2	2	31	7	1	0	70	82	15	6	78	2	4	43	510	4	13	125	20	0	5	2	1	0	7	7	189	88	1	7	28	0	9	4	2	8	2	16	49	37	25	5	6	0	74	0
Au	13	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	1	0	0	0	0	0	11	7	0	5	0	0	3	0	0	17	0	0	3	0	0	0	0	0	0	0
B	0	88	8	0	0	15	13	0	0	14	122	0	12	37	0	6	7	6	0	0	37	53	0	0	0	206	0	0	0	0	0	22	3	10	0	99	33	2	4	67	6	0	1	295	0	8	8	0	0	0	8	2	0	0	0	9	4	0	0	128	0	7	10	3	0	3	13	0	0	6	2	16	0	1	3
Ba	0	60	11	0	15	0	6	0	0	35	74	0	23	20	0	5	0	7	1	0	67	67	0	1	0	165	0	0	0	0	0	48	4	2	0	37	40	1	1	86	25	0	2	261	0	48	8	0	0	0	1	0	0	0	0	13	0	1	1	149	0	1	32	0	0	2	76	0	14	22	2	8	0	3	6
Be	0	33	4	0	13	6	0	0	0	1	58	0	7	2	0	3	7	0	0	0	14	22	0	0	0	73	0	0	0	0	0	18	1	11	0	15	19	0	0	31	0	3	0	127	0	32	2	0	0	0	3	1	0	0	0	3	2	2	0	77	1	4	1	0	0	1	5	0	0	1	0	10	1	5	3
Bi	36	1	25	4	0	0	0	0	1	3	4	2	0	12	4	2	0	69	0	0	4	22	0	0	0	44	0	4	1	2	2	2	0	0	0	1	1	7	2	5	2	0	9	84	0	12	95	14	0	6	0	0	0	0	0	125	22	0	34	3	0	3	0	4	40	0	0	2	7	8	1	0	0	0	0
Br	3	0	2	0	0	0	0	1	0	1	0	0	0	12	0	0	0	3	0	0	1	0	0	0	0	5	0	11	5	0	0	1	0	0	0	0	0	0	3	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C	0	60	4	0	14	35	1	3	1	0	157	1	46	32	4	8	0	43	3	1	47	37	0	4	1	329	0	4	1	0	0	23	29	4	0	71	29	0	21	114	6	22	16	430	0	27	33	0	1	0	0	0	0	0	0	46	0	0	0	69	3	0	22	3	4	2	6	0	42	3	2	34	1	19	10
Ca	0	445	141	0	122	74	58	4	0	157	0	1	81	110	5	18	6	67	2	1	206	322	0	2	2	1019	0	0	4	0	0	189	32	23	1	257	211	9	7	427	70	13	6	1440	0	209	38	0	0	0	25	0	0	0	0	120	18	11	2	720	1	17	65	15	10	22	124	0	68	66	9	59	1	41	73
Cd	2	1	6	0	0	0	0	2	0	1	1	0	0	3	0	0	0	12	0	0	1	2	0	0	1	12	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	16	0	2	6	0	0	0	0	0	0	0	0	18	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
