0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Ag,0,0,35,5,0,0,0,12,1,0,0,1,0,4,0,0,0,27,0,1,7,0,0,2,1,13,2,1,0,1,0,0,0,4,0,0,0,0,0,0,5,0,38,6,0,0,0,0,0,0,71,38,0,5,0,0,3,0,0,9,0,0,14,0,1,0,0,0,4,0
Al,0,0,34,0,42,36,18,0,0,35,201,1,16,36,0,7,2,32,0,75,132,1,0,4,383,1,0,0,0,89,15,26,123,54,4,16,139,7,4,10,506,95,21,0,0,0,2,1,0,0,78,4,5,2,248,1,10,25,2,2,5,30,1,14,28,3,12,1,26,7
As,35,34,0,0,5,5,2,13,2,1,69,6,7,30,10,1,2,78,0,13,71,1,0,0,189,11,1,2,0,26,2,1,45,53,12,6,58,2,2,21,276,10,74,4,0,0,0,1,1,0,94,53,1,4,19,0,5,2,2,3,1,13,40,15,23,5,3,0,37,0
Au,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0,3,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,0
B,0,42,5,0,0,10,9,0,0,8,72,0,5,24,0,4,4,6,0,20,25,0,0,0,116,0,0,0,0,15,1,6,50,24,2,4,41,5,0,1,168,6,7,0,0,0,5,1,0,0,6,4,0,0,68,0,4,6,1,0,2,8,0,0,6,2,12,0,1,2
Ba,0,36,5,0,10,0,5,0,0,19,45,0,13,13,0,1,0,5,1,50,38,0,1,0,102,0,0,0,0,32,3,2,20,22,1,1,55,16,0,2,150,35,7,0,0,0,1,0,0,0,10,0,1,1,93,0,1,19,0,0,2,43,0,6,14,0,5,0,3,3
Be,0,18,2,0,9,5,0,0,0,1,37,0,4,1,0,3,4,0,0,7,16,0,0,0,41,0,0,0,0,13,0,9,13,13,0,0,20,0,1,0,69,22,2,0,0,0,3,0,0,0,0,2,1,0,38,0,2,1,0,0,1,4,0,0,1,0,5,1,4,3
Bi,12,0,13,1,0,0,0,0,1,0,1,2,0,9,2,2,0,26,0,1,7,0,0,0,22,3,1,2,2,2,0,0,1,1,5,2,4,1,0,5,39,7,35,4,0,2,0,0,0,0,46,9,0,17,0,0,3,0,2,8,0,0,2,5,2,0,0,0,0,0
Br,1,0,2,0,0,0,0,1,0,1,0,0,0,9,0,0,0,2,0,1,0,0,0,0,5,10,4,0,0,1,0,0,0,0,0,3,0,0,0,0,10,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,35,1,0,8,19,1,0,1,0,71,0,21,21,1,7,0,24,2,30,20,0,3,1,176,4,1,0,0,14,17,3,34,21,0,14,68,6,13,6,213,21,17,0,1,0,0,0,0,0,26,0,0,0,46,3,0,11,3,3,1,4,0,25,2,1,21,0,7,9
Ca,0,201,69,0,72,45,37,1,0,71,0,1,39,67,0,12,6,35,1,108,168,0,1,2,487,0,3,0,0,108,18,16,124,109,6,5,222,39,6,4,681,116,20,0,0,0,14,0,0,0,61,12,8,2,335,1,11,38,5,3,6,63,0,28,35,8,32,0,25,44
Cd,1,1,6,0,0,0,0,2,0,0,1,0,0,3,0,0,0,9,0,1,1,0,0,1,10,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,12,2,5,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Ce,0,16,7,0,5,13,4,0,0,21,39,0,0,5,0,1,1,3,0,21,27,0,0,0,55,0,0,0,0,6,21,1,12,23,1,0,37,13,11,0,90,8,0,0,0,0,1,0,0,0,4,0,0,0,53,0,0,12,1,0,3,24,0,2,1,2,4,0,2,11
Cl,4,36,30,0,24,13,1,9,9,21,67,3,5,0,2,3,1,61,1,19,39,0,1,0,145,17,7,0,0,51,0,2,28,30,3,18,53,7,0,5,218,6,54,0,0,0,1,1,0,0,47,7,0,12,54,0,2,9,0,9,0,9,5,2,13,3,3,0,9,15
Co,0,0,10,0,0,0,0,2,0,1,0,0,0,2,0,1,0,4,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,0,0,1,3,0,0,5,21,1,2,0,0,0,0,0,0,0,8,3,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Cr,0,7,1,0,4,1,3,2,0,7,12,0,1,3,1,0,0,5,0,1,17,0,0,0,30,3,1,0,0,2,0,0,16,4,0,1,7,1,0,2,52,1,11,0,0,0,0,0,0,0,14,1,0,0,12,0,0,5,0,1,0,12,0,2,5,0,2,0,5,1
Cs,0,2,2,0,4,0,4,0,0,0,6,0,1,1,0,0,0,3,0,9,5,0,0,0,13,0,0,0,0,7,0,5,2,1,0,0,8,1,1,0,24,1,3,0,0,0,1,1,0,0,3,1,0,0,14,0,0,0,1,0,0,3,0,1,2,1,0,0,0,2
Cu,27,32,78,2,6,5,0,26,2,24,35,9,3,61,4,5,3,0,0,7,54,3,1,9,148,11,4,1,2,38,4,1,21,9,10,7,35,0,3,19,239,19,50,5,0,7,0,1,4,0,110,25,0,38,19,1,5,3,0,21,0,3,13,8,25,2,2,0,28,0
Dy,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
F,1,75,13,0,20,50,7,1,1,30,108,1,21,19,0,1,9,7,1,0,43,0,1,0,120,0,0,0,0,39,8,24,49,32,2,2,114,14,4,0,217,44,13,0,0,0,10,1,0,0,23,0,0,0,119,0,1,21,1,0,2,47,0,5,8,2,24,0,2,5
