0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	F	Fe	Ga	Gd	Ge	H	Hg	I	In	Ir	K	La	Li	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	P	Pb	Pd	Pt	REE	Rb	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Zn	Zr
Ag	0	0	22	3	0	0	0	2	0	0	0	1	0	1	0	0	0	12	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	18	0	0	0	0	0	0	31	19	0	1	0	0	2	0	0	5	0	0	6	0	1	0	0	2	0
Al	0	0	23	0	16	14	11	0	0	16	84	1	3	17	0	2	2	16	0	33	65	1	0	3	161	1	0	0	0	40	6	12	52	21	3	3	72	6	3	3	226	42	12	0	0	1	0	0	0	33	3	2	2	104	1	3	14	2	2	2	13	0	2	11	3	5	10	3
As	22	23	0	0	4	3	1	6	1	0	49	4	3	21	4	1	1	48	0	11	45	1	0	0	100	5	1	1	0	21	0	1	31	28	9	3	49	2	0	11	168	7	44	4	0	0	1	0	0	53	31	0	2	13	0	2	1	2	1	1	9	19	6	16	4	2	23	0
Au	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	0	2	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0
B	0	16	4	0	0	6	5	0	0	4	32	0	2	9	0	1	2	5	0	12	12	0	0	0	50	0	0	0	0	9	0	2	19	13	2	2	21	3	0	1	80	3	4	0	0	2	1	0	0	2	2	0	0	39	0	2	6	0	0	0	2	0	0	4	2	8	0	2
Ba	0	14	3	0	6	0	3	0	0	10	19	0	6	5	0	0	0	3	1	23	9	0	1	0	52	0	0	0	0	14	1	2	6	11	1	0	26	11	0	0	69	14	4	0	0	0	0	0	0	3	0	1	0	42	0	0	8	0	0	2	20	0	4	7	0	3	3	3
Be	0	11	1	0	5	3	0	0	0	1	19	0	2	1	0	1	3	0	0	3	5	0	0	0	22	0	0	0	0	11	0	7	7	9	0	0	17	0	0	0	37	14	0	0	0	3	0	0	0	0	1	1	0	18	0	2	1	0	0	0	2	0	0	0	0	3	3	3
Bi	2	0	6	1	0	0	0	0	1	0	1	1	0	6	1	0	0	11	0	0	3	0	0	0	8	2	0	2	0	1	0	0	0	0	2	2	4	0	0	3	17	4	15	1	0	0	0	0	0	21	5	0	5	0	0	2	0	0	4	0	0	2	2	0	0	0	0	0
Br	0	0	1	0	0	0	0	1	0	1	0	0	0	4	0	0	0	1	0	1	0	0	0	0	2	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	0	16	0	0	4	10	1	0	1	0	34	0	10	10	1	2	0	11	2	15	7	0	2	0	91	4	1	0	0	5	7	3	12	10	0	9	34	4	5	2	99	12	4	0	0	0	0	0	0	13	0	0	0	22	1	0	6	2	0	1	3	0	13	2	1	11	2	7
Ca	0	84	49	0	32	19	19	1	0	34	0	0	17	35	0	6	5	23	1	50	80	0	1	1	241	0	1	0	0	56	7	11	52	51	2	3	121	23	5	2	330	52	11	0	0	9	0	0	0	24	8	2	0	160	1	5	22	3	1	3	35	0	13	24	5	17	15	23
Cd	1	1	4	0	0	0	0	1	0	0	0	0	0	3	0	0	0	4	0	1	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	1	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ce	0	3	3	0	2	6	2	0	0	10	17	0	0	2	0	0	1	2	0	8	5	0	0	0	24	0	0	0	0	5	5	0	3	11	0	0	19	4	4	0	37	2	0	0	0	1	0	0	0	2	0	0	0	24	0	0	4	1	0	2	9	0	1	1	1	4	2	5
Cl	1	17	21	0	9	5	1	6	4	10	35	3	2	0	1	2	1	30	1	11	21	0	1	0	67	8	6	0	0	24	0	2	16	15	2	9	26	5	0	3	103	3	23	0	0	1	1	0	0	17	3	0	7	26	0	0	6	0	1	0	4	4	1	6	2	3	5	8
Co	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	7	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cr	0	2	1	0	1	0	1	0	0	2	6	0	0	2	0	0	0	3	0	1	4	0	0	0	15	2	1	0	0	0	0	0	4	2	0	1	2	0	0	0	21	0	7	0	0	0	0	0	0	7	1	0	0	4	0	0	3	0	1	0	5	0	1	2	0	1	4	1
Cs	0	2	1	0	2	0	3	0	0	0	5	0	1	1	0	0	0	2	0	8	3	0	0	0	8	0	0	0	0	4	0	5	1	0	0	0	7	1	1	0	17	1	2	0	0	1	1	0	0	2	1	0	0	12	0	0	0	1	0	0	2	0	0	1	0	0	0	2
