0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,F,Fe,Ga,Gd,Ge,H,Hf,Hg,I,In,Ir,K,La,Li,Ln,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pr,Pt,REE,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Ag,0,0,48,8,0,0,0,20,1,0,0,1,0,6,0,0,0,51,0,0,1,10,0,0,2,2,0,19,3,1,0,1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,55,7,0,0,0,0,0,0,0,108,52,0,12,0,0,5,0,0,15,0,0,16,0,1,0,0,0,8,0
Al,0,0,50,0,64,48,24,0,0,49,311,1,27,52,1,9,6,43,0,0,119,218,1,0,4,607,0,1,0,0,0,145,20,36,0,207,90,4,19,217,8,7,11,778,0,141,28,0,0,0,5,4,0,0,0,121,8,5,2,395,1,10,38,5,3,6,41,1,17,37,5,15,1,38,9
As,48,50,0,0,8,6,4,19,2,2,112,6,10,40,20,1,3,124,0,0,17,111,1,0,0,285,0,18,1,2,1,27,6,1,0,60,76,13,6,75,2,3,33,392,2,11,96,8,0,1,2,1,0,4,4,142,74,1,7,26,0,7,3,2,6,2,16,48,23,23,5,4,0,58,0
Au,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,4,0,4,0,0,2,0,0,10,0,0,3,0,0,0,0,0,0,0
B,0,64,8,0,0,14,11,0,0,14,102,0,9,36,0,5,6,6,0,0,32,42,0,0,0,167,0,0,0,0,0,21,2,7,0,79,30,2,4,54,6,0,1,240,0,7,8,0,0,0,7,2,0,0,0,9,4,0,0,100,0,6,10,3,0,3,10,0,0,6,2,15,0,1,3
Ba,0,48,6,0,14,0,5,0,0,28,66,0,21,19,0,5,0,6,1,0,64,62,0,1,0,143,0,0,0,0,0,44,4,2,0,32,35,1,1,77,22,0,2,219,0,45,8,0,0,0,1,0,0,0,0,12,0,1,1,130,0,1,30,0,0,2,67,0,9,19,1,8,0,3,5
Be,0,24,4,0,11,5,0,0,0,1,47,0,6,1,0,3,6,0,0,0,10,18,0,0,0,55,0,0,0,0,0,16,0,10,0,14,15,0,0,24,0,2,0,93,0,24,2,0,0,0,3,1,0,0,0,0,2,1,0,55,1,4,1,0,0,1,5,0,0,1,0,7,1,4,3
Bi,20,0,19,2,0,0,0,0,1,0,2,2,0,10,3,2,0,46,0,0,1,15,0,0,0,32,0,4,1,2,2,2,0,0,0,1,1,6,2,4,1,0,7,56,0,10,60,8,0,2,0,0,0,0,0,75,14,0,26,0,0,3,0,2,20,0,0,2,5,5,0,0,0,0,0
Br,1,0,2,0,0,0,0,1,0,1,0,0,0,10,0,0,0,2,0,0,1,0,0,0,0,5,0,10,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C,0,49,2,0,14,28,1,0,1,0,113,0,34,28,3,7,0,31,3,1,38,25,0,4,1,262,0,4,1,0,0,22,24,4,0,49,27,0,20,91,6,21,10,319,0,26,26,0,1,0,0,0,0,0,0,35,0,0,0,58,3,0,16,3,4,2,6,0,36,3,2,30,1,12,10
