0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	F	Fe	Ga	Gd	Ge	H	Hg	I	Ir	K	La	Li	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	P	Pb	Pd	REE	Rh	S	Sb	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Zn	Zr
Ag	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Al	0	0	3	0	1	8	4	0	0	10	22	0	0	2	0	1	0	3	0	13	17	0	0	2	57	0	0	0	10	1	3	21	5	0	1	24	1	1	0	68	16	3	0	0	0	9	2	0	24	0	1	9	1	0	2	6	0	2	1	0	2	7	2
As	3	3	0	0	0	1	0	3	0	0	10	2	0	3	4	0	0	8	0	2	15	1	0	0	27	0	0	0	2	0	1	4	8	1	0	6	2	0	3	38	1	13	1	0	0	9	5	1	6	0	1	0	2	0	0	2	4	1	2	0	1	11	0
Au	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B	0	1	0	0	0	2	2	0	0	1	12	0	0	4	0	0	0	1	0	2	3	0	0	0	20	0	0	0	3	0	0	8	5	0	1	6	1	0	1	27	0	1	0	1	0	0	1	0	7	0	1	0	0	0	0	1	0	0	1	0	3	0	0
Ba	0	8	1	0	2	0	0	0	0	5	6	0	2	3	0	0	0	2	1	9	4	0	1	0	21	0	0	0	6	1	1	1	3	0	0	9	1	0	0	24	4	3	0	0	0	1	0	0	12	0	0	3	0	0	1	7	0	2	2	0	2	0	1
Be	0	4	0	0	2	0	0	0	0	0	11	0	0	1	0	0	1	0	0	0	2	0	0	0	14	0	0	0	4	0	4	3	3	0	0	6	0	0	0	16	9	0	0	1	0	0	1	0	6	0	1	0	0	0	0	0	0	0	0	0	1	3	3
Bi	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	2	1	0	0	0	2	2	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Br	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	0	10	0	0	1	5	0	0	0	0	8	0	4	4	1	0	0	1	2	7	1	0	2	0	36	3	0	0	1	3	0	5	3	0	3	13	1	5	2	37	6	1	0	0	0	6	0	0	3	1	0	2	2	0	1	2	0	4	1	0	5	0	1
Ca	0	22	10	0	12	6	11	1	0	8	0	0	2	12	0	2	0	5	1	12	16	0	1	1	69	0	1	0	15	1	4	15	12	0	1	31	4	1	1	88	19	4	0	3	0	6	3	0	38	1	0	6	2	0	2	6	0	6	2	2	7	7	5
Cd	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ce	0	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	1	0	2	1	0	0	0	4	0	0	0	2	4	0	0	1	0	0	5	1	4	0	10	0	0	0	0	0	1	0	0	5	0	0	1	1	0	1	3	0	1	0	0	1	0	1
Cl	0	2	3	0	4	3	1	1	1	4	12	1	0	0	0	1	0	5	1	2	6	0	1	0	15	3	1	0	2	0	0	5	5	0	0	6	1	0	1	25	1	6	0	0	0	7	2	2	6	0	0	2	0	0	0	0	1	0	1	2	2	0	3
