0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Ag,0,0,13,2,0,0,0,10,1,0,0,0,0,3,0,0,0,15,1,6,0,0,2,1,7,2,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,20,6,0,0,0,0,0,40,19,0,4,0,0,1,0,0,4,0,0,8,0,0,0,0,0,2,0
Al,0,0,11,0,26,22,7,0,0,19,117,0,13,19,0,5,0,16,42,67,0,0,1,222,0,0,0,0,49,9,14,71,33,1,13,67,1,1,7,280,53,9,0,0,0,1,1,0,45,1,3,0,144,0,7,11,0,0,3,17,1,12,17,0,7,1,16,4
As,13,11,0,0,1,2,1,7,1,1,20,2,4,9,6,0,1,30,2,26,0,0,0,89,6,0,1,0,5,2,0,14,25,3,3,9,0,2,10,108,3,30,0,0,0,0,0,1,41,22,1,2,6,0,3,1,0,2,0,4,21,9,7,1,1,0,14,0
Au,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0
B,0,26,1,0,0,4,4,0,0,4,40,0,3,15,0,3,2,1,8,13,0,0,0,66,0,0,0,0,6,1,4,31,11,0,2,20,2,0,0,88,3,3,0,0,0,3,0,0,4,2,0,0,29,0,2,0,1,0,2,6,0,0,2,0,4,0,1,0
Ba,0,22,2,0,4,0,2,0,0,9,26,0,7,8,0,1,0,2,27,29,0,0,0,50,0,0,0,0,18,2,0,14,11,0,1,29,5,0,2,81,21,3,0,0,0,1,0,0,7,0,0,1,51,0,1,11,0,0,0,23,0,2,7,0,2,0,0,0
Be,0,7,1,0,4,2,0,0,0,0,18,0,2,0,0,2,1,0,4,11,0,0,0,19,0,0,0,0,2,0,2,6,4,0,0,3,0,1,0,32,8,2,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,1,2,0,0,1,0,2,1,1,0
Bi,10,0,7,0,0,0,0,0,0,0,0,1,0,3,1,2,0,15,1,4,0,0,0,14,1,1,0,2,1,0,0,1,1,3,0,0,1,0,2,22,3,20,3,0,2,0,0,0,25,4,0,12,0,0,1,0,2,4,0,0,0,3,2,0,0,0,0,0
Br,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,3,6,1,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,19,1,0,4,9,0,0,0,0,37,0,11,11,0,5,0,13,15,13,0,1,1,85,0,0,0,0,9,10,0,22,11,0,5,34,2,8,4,114,9,13,0,1,0,0,0,0,13,0,0,0,24,2,0,5,1,3,0,1,0,12,0,0,10,0,5,2
Ca,0,117,20,0,40,26,18,0,0,37,0,1,22,32,0,6,1,12,58,88,0,0,1,246,0,2,0,0,52,11,5,72,58,4,2,101,16,1,2,351,64,9,0,0,0,5,0,0,37,4,6,2,175,0,6,16,2,2,3,28,0,15,11,3,15,0,10,21
Cd,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Ce,0,13,4,0,3,7,2,0,0,11,22,0,0,3,0,1,0,1,13,22,0,0,0,31,0,0,0,0,1,16,1,9,12,1,0,18,9,7,0,53,6,0,0,0,0,0,0,0,2,0,0,0,29,0,0,8,0,0,1,15,0,1,0,1,0,0,0,6
Cl,3,19,9,0,15,8,0,3,5,11,32,0,3,0,1,1,0,31,8,18,0,0,0,78,9,1,0,0,27,0,0,12,15,1,9,27,2,0,2,115,3,31,0,0,0,0,0,0,30,4,0,5,28,0,2,3,0,8,0,5,1,1,7,1,0,0,4,7
