0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
Ag	0	0	15	5	0	0	0	19	1	0	0	1	0	3	0	0	0	32	0	0	0	7	0	0	0	2	0	12	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	26	3	0	0	0	0	0	0	59	19	0	10	0	0	4	0	0	11	0	0	2	0	0	0	0	0	6	0
Al	0	0	26	0	38	20	10	1	0	19	179	0	13	21	1	4	5	19	0	0	68	130	0	0	0	376	0	0	0	0	0	90	7	17	0	129	54	0	6	136	2	3	3	453	0	74	9	0	0	4	3	0	0	0	61	5	0	0	259	0	1	15	4	1	1	15	0	5	10	2	5	0	19	3
As	15	26	0	0	3	5	2	11	0	2	64	0	5	13	15	1	1	71	0	0	7	59	0	0	1	161	0	9	0	0	1	4	5	0	0	23	29	3	0	19	0	2	16	193	4	3	38	15	2	2	0	0	4	6	69	31	0	3	9	0	4	2	0	5	1	3	9	20	1	0	2	0	33	0
Au	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	0	0	0	0	0	4	1	0	2	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0
B	0	38	3	0	0	5	3	0	0	6	44	0	7	13	0	2	3	0	0	0	17	21	0	0	0	77	0	0	0	0	0	7	2	3	0	45	8	0	0	21	1	0	0	110	0	2	1	0	0	3	1	0	0	0	3	0	0	0	50	0	3	4	2	0	1	5	0	0	0	0	4	0	0	1
Ba	0	20	5	0	5	0	1	0	0	13	26	0	9	7	0	4	0	2	0	0	17	28	0	0	0	58	0	0	0	0	0	15	1	0	0	16	15	0	0	29	9	0	0	100	0	12	1	0	0	0	0	0	0	0	2	0	0	0	54	0	0	11	0	0	0	33	0	8	8	2	3	0	0	3
Be	0	10	2	0	3	1	0	0	0	0	18	0	3	1	0	0	3	0	0	0	7	4	0	0	0	25	0	0	0	0	0	4	1	2	0	2	5	0	0	10	0	2	0	44	0	9	0	0	0	0	1	0	0	0	0	0	1	0	28	1	2	0	0	0	0	1	0	0	0	0	4	0	0	0
Bi	19	1	11	2	0	0	0	0	0	1	2	0	0	2	2	0	0	36	0	0	3	14	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	3	39	0	5	49	5	2	0	0	0	0	0	62	12	0	17	2	0	0	0	2	20	0	0	0	2	6	1	0	0	0	0
Br	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C	0	19	2	0	6	13	0	1	0	0	64	1	19	9	3	1	0	12	1	1	13	12	0	1	0	121	0	0	0	0	0	9	12	1	0	28	6	0	7	39	0	9	9	162	0	6	9	0	0	0	0	0	0	0	12	0	0	0	17	0	0	8	0	1	1	2	0	15	1	1	12	1	7	1
