0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pt,REE,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
Ag,0,0,6,5,0,0,0,16,2,0,0,1,0,3,0,0,0,13,0,8,1,3,6,2,2,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,15,2,0,0,0,0,47,16,0,5,0,3,0,0,11,0,0,0,0,0,0,0,2,0
Al,0,0,12,0,24,12,9,1,0,11,133,0,4,9,0,2,2,17,30,81,0,292,0,0,0,0,60,2,15,84,25,0,4,104,1,0,2,361,0,49,7,0,0,1,0,0,45,1,0,0,234,1,6,1,0,0,5,0,3,2,0,2,8,1
As,6,12,0,0,0,5,0,6,0,2,29,0,2,5,12,2,0,52,3,35,1,104,2,0,0,1,4,1,0,10,6,2,0,3,0,1,10,118,2,2,27,12,4,0,3,3,45,14,0,0,2,2,1,0,2,0,0,1,14,2,0,2,16,0
Au,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,3,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0
B,0,24,0,0,0,1,2,0,0,0,20,0,3,1,0,1,1,0,5,11,0,39,0,0,0,0,1,1,3,20,3,0,0,13,0,0,0,55,0,1,0,0,0,1,0,0,0,0,0,0,28,1,0,0,0,0,3,0,0,0,0,1,0,0
Ba,0,12,5,0,1,0,1,0,0,7,8,0,2,1,0,0,0,1,3,5,0,22,0,0,0,0,4,0,0,5,5,0,0,9,3,0,0,42,0,3,0,0,0,0,0,0,1,0,0,0,19,0,2,0,0,0,9,0,5,3,1,0,0,1
Be,0,9,0,0,2,1,0,0,0,0,11,0,1,1,0,0,1,0,4,4,0,18,0,0,0,0,2,1,1,1,4,0,0,7,0,1,0,34,0,8,0,0,0,0,0,0,3,0,1,0,22,0,0,0,0,0,0,0,0,0,0,3,1,0
Bi,16,1,6,2,0,0,0,0,0,3,2,0,0,2,1,0,0,23,3,7,0,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,28,0,2,35,6,4,0,0,0,50,8,0,8,3,0,0,2,20,0,0,0,2,3,1,0,0,0
Br,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,11,2,0,0,7,0,3,0,0,43,1,12,3,1,1,0,12,9,12,0,66,0,0,0,0,1,5,0,22,2,0,1,23,0,1,6,110,0,1,7,0,0,0,0,0,11,0,0,0,11,0,6,0,0,0,0,0,6,0,0,4,7,0
Ca,0,133,29,0,20,8,11,2,0,43,0,0,23,14,3,2,0,11,39,72,0,270,0,0,0,0,35,8,1,73,39,2,1,100,12,0,1,379,0,48,5,0,0,2,0,0,26,1,0,0,198,3,6,4,0,8,24,0,22,14,1,9,5,14
